Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Paul Reed,C,23,PHI,49,0,9.9,1.4,2.5,.587,0.0,0.1,.000,1.4,2.4,.607,.587,0.4,0.5,.769,1.2,2.0,3.3,0.3,0.6,0.7,0.6,1.8,3.3
Naz Reid,C,23,MIN,57,11,18.1,4.3,8.1,.530,1.1,3.2,.333,3.2,4.9,.657,.596,1.1,1.7,.660,1.2,3.8,5.0,1.1,0.6,0.9,1.4,2.5,10.7
Jared Rhoden,SG,23,DET,1,0,12.0,1.0,3.0,.333,0.0,1.0,.000,1.0,2.0,.500,.333,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0
Nick Richards,C,25,CHO,50,0,17.5,2.9,4.8,.608,0.0,0.0,0,2.9,4.8,.608,.608,2.0,2.7,.735,2.4,3.4,5.7,0.4,0.2,1.0,0.8,2.3,7.8
Josh Richardson,SG,29,TOT,48,10,24.1,4.1,9.3,.442,1.7,4.8,.352,2.4,4.5,.537,.532,1.3,1.5,.861,0.6,2.1,2.8,3.1,1.2,0.3,1.5,1.9,11.2
Josh Richardson,SG,29,SAS,42,6,23.7,4.2,9.7,.436,1.8,4.9,.357,2.5,4.7,.518,.527,1.3,1.4,.883,0.7,2.1,2.8,3.3,1.0,0.3,1.5,1.7,11.5
Josh Richardson,SG,29,NOP,6,4,27.0,3.5,7.0,.500,1.2,3.8,.304,2.3,3.2,.737,.583,1.5,2.0,.750,0.2,2.2,2.3,2.3,2.7,0.5,1.3,3.5,9.7
Austin Rivers,SG,30,MIN,49,10,20.4,1.9,4.2,.444,0.9,2.5,.355,1.0,1.7,.571,.549,0.6,0.8,.769,0.1,1.6,1.7,1.5,0.6,0.1,0.5,1.6,5.2
Duncan Robinson,SF,28,MIA,32,0,17.3,2.1,5.9,.360,1.6,4.8,.325,0.6,1.1,.514,.492,0.6,0.7,.909,0.3,1.6,1.9,1.2,0.4,0.0,0.7,1.9,6.4
Mitchell Robinson,C,24,NYK,43,42,27.2,3.3,4.6,.707,0.0,0.0,0,3.3,4.6,.707,.707,1.0,2.0,.477,4.2,4.9,9.1,0.9,0.9,1.7,0.5,2.9,7.5
Orlando Robinson,C,22,MIA,29,1,13.7,1.6,3.0,.535,0.0,0.2,.000,1.6,2.8,.568,.535,0.7,1.0,.724,1.5,2.6,4.1,0.7,0.4,0.4,0.5,1.8,3.9
Jeremiah Robinson-Earl,PF,22,OKC,33,19,20.0,2.8,6.2,.451,0.9,2.8,.330,1.8,3.3,.555,.527,0.9,1.1,.806,1.8,2.6,4.5,1.0,0.6,0.3,0.5,1.7,7.4
Isaiah Roby,PF,24,SAS,42,2,11.3,1.6,3.7,.432,0.4,1.4,.300,1.2,2.3,.516,.490,0.5,1.0,.488,0.5,2.0,2.5,0.9,0.4,0.2,0.7,1.3,4.1
David Roddy,PF,21,MEM,50,1,16.8,2.3,5.5,.420,0.8,2.8,.290,1.5,2.7,.551,.493,0.6,1.0,.625,0.6,1.9,2.5,0.6,0.5,0.2,0.9,1.4,6.0
Ryan Rollins,PG,20,GSW,12,0,5.2,0.6,1.7,.350,0.3,0.8,.333,0.3,0.9,.364,.425,0.5,0.5,1.000,0.3,0.8,1.0,0.5,0.1,0.1,1.3,0.8,1.9
Derrick Rose,PG,34,NYK,27,0,12.5,2.3,5.9,.384,0.7,2.3,.302,1.6,3.6,.438,.443,0.4,0.4,.917,0.3,1.2,1.5,1.7,0.3,0.2,0.8,0.7,5.6
